"year_week","sexo","agrp","dpt_cdc","prov_cdc","n"
"2020-04-12","F","65+","LORETO","MAYNAS",5
"2020-04-12","F","65+","LORETO",NA,1
"2020-04-12","F","65+","PASCO","PASCO",1
"2020-04-12","F","65+","PIURA","PIURA",5
"2020-04-12","F","65+","TUMBES","ZARUMILLA",1
"2020-04-12","F","65+","UCAYALI","CORONEL PORTILLO",2
"2020-04-12","M","0-17","LIMA","CAÑETE",1
"2020-04-12","M","0-17","PIURA","AYABACA",1
"2020-04-12","M","0-17","PIURA","PIURA",1
"2020-04-12","M","18-44","ANCASH","SANTA",2
"2020-04-12","M","18-44","AYACUCHO","PARINACOCHAS",1
"2020-04-12","M","18-44","CAJAMARCA","SANTA CRUZ",1
"2020-04-12","M","18-44","CALLAO","CALLAO",4
"2020-04-12","M","18-44","JUNIN","HUANCAYO",1
"2020-04-12","M","18-44","LA LIBERTAD","TRUJILLO",2
"2020-04-12","M","18-44","LAMBAYEQUE","CHICLAYO",1
"2020-04-12","M","18-44","LAMBAYEQUE","FERREÑAFE",1
"2020-04-12","M","18-44","LAMBAYEQUE","LAMBAYEQUE",2
"2020-04-12","M","18-44","LIMA","LIMA",7
"2020-04-12","M","18-44","LORETO","MAYNAS",1
"2020-04-12","M","18-44","PIURA","MORROPON",2
"2020-04-12","M","18-44","PIURA","PIURA",2
"2020-04-12","M","18-44","PIURA","SULLANA",2
"2020-04-12","M","18-44","UCAYALI","CORONEL PORTILLO",1
"2020-04-12","M","45-64","ANCASH","SANTA",6
"2020-04-12","M","45-64","AREQUIPA","AREQUIPA",1
"2020-04-12","M","45-64","CALLAO","CALLAO",7
"2020-04-12","M","45-64","ICA","CHINCHA",4
"2020-04-12","M","45-64","ICA","ICA",1
"2020-04-12","M","45-64","ICA","NAZCA",1
"2020-04-12","M","45-64","ICA","PISCO",2
"2020-04-12","M","45-64","JUNIN","CHUPACA",1
"2020-04-12","M","45-64","JUNIN","HUANCAYO",1
"2020-04-12","M","45-64","LA LIBERTAD","TRUJILLO",1
"2020-04-12","M","45-64","LAMBAYEQUE","CHICLAYO",7
"2020-04-12","M","45-64","LAMBAYEQUE","FERREÑAFE",4
"2020-04-12","M","45-64","LAMBAYEQUE","LAMBAYEQUE",3
"2020-04-12","M","45-64","LIMA","CAÑETE",5
"2020-04-12","M","45-64","LIMA","HUARAL",1
"2020-04-12","M","45-64","LIMA","HUAURA",1
"2020-04-12","M","45-64","LIMA","LIMA",7
"2020-04-12","M","45-64","LORETO","MAYNAS",5
"2020-04-12","M","45-64","PIURA","MORROPON",2
"2020-04-12","M","45-64","PIURA","PAITA",1
"2020-04-12","M","45-64","PIURA","PIURA",5
"2020-04-12","M","45-64","PIURA","SULLANA",1
"2020-04-12","M","45-64","PIURA","TALARA",1
"2020-04-12","M","45-64","TUMBES","TUMBES",2
"2020-04-12","M","45-64","UCAYALI","CORONEL PORTILLO",3
"2020-04-12","M","65+","ANCASH","SANTA",4
"2020-04-12","M","65+","AREQUIPA","AREQUIPA",3
"2020-04-12","M","65+","AYACUCHO","PAUCAR DEL SARA SARA",1
"2020-04-12","M","65+","CAJAMARCA","CAJABAMBA",1
"2020-04-12","M","65+","CAJAMARCA","JAEN",1
"2020-04-12","M","65+","CALLAO","CALLAO",7
"2020-04-12","M","65+","ICA","CHINCHA",2
"2020-04-12","M","65+","ICA","ICA",4
"2020-04-12","M","65+","JUNIN","HUANCAYO",1
"2020-04-12","M","65+","JUNIN","TARMA",1
"2020-04-12","M","65+","JUNIN","YAULI",1
"2020-04-12","M","65+","LA LIBERTAD","ASCOPE",1
"2020-04-12","M","65+","LA LIBERTAD","CHEPEN",1
"2020-04-12","M","65+","LA LIBERTAD","TRUJILLO",4
"2020-04-12","M","65+","LAMBAYEQUE","CHICLAYO",7
"2020-04-12","M","65+","LAMBAYEQUE","FERREÑAFE",5
"2020-04-12","M","65+","LAMBAYEQUE","LAMBAYEQUE",5
"2020-04-12","M","65+","LIMA","CAÑETE",1
"2020-04-12","M","65+","LIMA","HUAURA",1
"2020-04-12","M","65+","LIMA","LIMA",7
"2020-04-12","M","65+","LIMA","OYON",1
"2020-04-12","M","65+","LORETO","DATEM DEL MARAÑON",1
"2020-04-12","M","65+","LORETO","MAYNAS",4
"2020-04-12","M","65+","LORETO","REQUENA",1
"2020-04-12","M","65+","LORETO","UCAYALI",1
"2020-04-12","M","65+","PIURA","MORROPON",1
"2020-04-12","M","65+","PIURA","PIURA",7
"2020-04-12","M","65+","PIURA","SULLANA",2
"2020-04-12","M","65+","PUNO","HUANCANE",1
"2020-04-12","M","65+","SAN MARTIN","RIOJA",1
"2020-04-12","M","65+","TUMBES","TUMBES",1
"2020-04-12","M","65+","TUMBES","ZARUMILLA",1
"2020-04-12","M","65+","UCAYALI","CORONEL PORTILLO",3
"2020-04-19","F","0-17","ICA","PISCO",1
"2020-04-19","F","0-17","LIMA","LIMA",1
"2020-04-19","F","0-17","UCAYALI","CORONEL PORTILLO",2
"2020-04-19","F","18-44","ANCASH","HUARAZ",1
"2020-04-19","F","18-44","AREQUIPA","AREQUIPA",1
"2020-04-19","F","18-44","CALLAO","CALLAO",2
"2020-04-19","F","18-44","ICA","CHINCHA",1
"2020-04-19","F","18-44","LAMBAYEQUE","CHICLAYO",1
"2020-04-19","F","18-44","LAMBAYEQUE","FERREÑAFE",1
"2020-04-19","F","18-44","LAMBAYEQUE","LAMBAYEQUE",2
"2020-04-19","F","18-44","LIMA","LIMA",6
"2020-04-19","F","18-44","LORETO","ALTO AMAZONAS",1
"2020-04-19","F","18-44","LORETO","MAYNAS",6
"2020-04-19","F","18-44","PIURA","PIURA",3
"2020-04-19","F","18-44","PIURA","SULLANA",1
"2020-04-19","F","18-44","SAN MARTIN","MOYOBAMBA",1
"2020-04-19","F","18-44","TUMBES","ZARUMILLA",1
"2020-04-19","F","18-44","UCAYALI","ATALAYA",1
"2020-04-19","F","18-44","UCAYALI","CORONEL PORTILLO",3
"2020-04-19","F","45-64","ANCASH","SANTA",3
"2020-04-19","F","45-64","AREQUIPA","AREQUIPA",1
"2020-04-19","F","45-64","CALLAO","CALLAO",7
"2020-04-19","F","45-64","ICA","CHINCHA",3
"2020-04-19","F","45-64","ICA","ICA",2
"2020-04-19","F","45-64","JUNIN","HUANCAYO",1
"2020-04-19","F","45-64","LA LIBERTAD","CHEPEN",1
"2020-04-19","F","45-64","LAMBAYEQUE","CHICLAYO",7
"2020-04-19","F","45-64","LAMBAYEQUE","FERREÑAFE",4
"2020-04-19","F","45-64","LIMA","BARRANCA",1
"2020-04-19","F","45-64","LIMA","CAÑETE",1
"2020-04-19","F","45-64","LIMA","HUARAL",1
"2020-04-19","F","45-64","LIMA","HUAURA",1
"2020-04-19","F","45-64","LIMA","LIMA",7
"2020-04-19","F","45-64","LORETO","MAYNAS",6
"2020-04-19","F","45-64","PIURA","MORROPON",1
"2020-04-19","F","45-64","PIURA","PAITA",1
"2020-04-19","F","45-64","PIURA","PIURA",7
"2020-04-19","F","45-64","SAN MARTIN","RIOJA",1
"2020-04-19","F","45-64","UCAYALI","CORONEL PORTILLO",3
"2020-04-19","F","65+","ANCASH","POMABAMBA",1
"2020-04-19","F","65+","ANCASH","SANTA",6
"2020-04-19","F","65+","AREQUIPA","AREQUIPA",2
"2020-04-19","F","65+","AYACUCHO","HUANTA",1
"2020-04-19","F","65+","AYACUCHO","LUCANAS",1
"2020-04-19","F","65+","AYACUCHO","SUCRE",1
"2020-04-19","F","65+","CALLAO","CALLAO",7
"2020-04-19","F","65+","ICA","CHINCHA",2
"2020-04-19","F","65+","ICA","ICA",2
"2020-04-19","F","65+","ICA","NAZCA",1
"2020-04-19","F","65+","ICA","PALPA",1
"2020-04-19","F","65+","ICA","PISCO",1
"2020-04-19","F","65+","JUNIN","HUANCAYO",1
"2020-04-19","F","65+","JUNIN","JAUJA",1
"2020-04-19","F","65+","LA LIBERTAD","TRUJILLO",2
"2020-04-19","F","65+","LAMBAYEQUE","CHICLAYO",7
"2020-04-19","F","65+","LAMBAYEQUE","FERREÑAFE",5
"2020-04-19","F","65+","LAMBAYEQUE","LAMBAYEQUE",1
"2020-04-19","F","65+","LAMBAYEQUE",NA,1
"2020-04-19","F","65+","LIMA","CAÑETE",3
"2020-04-19","F","65+","LIMA","HUARAL",2
"2020-04-19","F","65+","LIMA","LIMA",7
"2020-04-19","F","65+","LORETO","DATEM DEL MARAÑON",1
"2020-04-19","F","65+","LORETO","MAYNAS",7
"2020-04-19","F","65+","MADRE DE DIOS","TAMBOPATA",1
"2020-04-19","F","65+","MOQUEGUA","GENERAL SANCHEZ CERRO",1
"2020-04-19","F","65+","PIURA","MORROPON",3
"2020-04-19","F","65+","PIURA","PIURA",6
"2020-04-19","F","65+","PIURA","SECHURA",1
"2020-04-19","F","65+","PIURA","SULLANA",2
"2020-04-19","F","65+","TUMBES","TUMBES",2
"2020-04-19","F","65+","TUMBES","ZARUMILLA",1
"2020-04-19","F","65+","UCAYALI","CORONEL PORTILLO",5
"2020-04-19","M","0-17","CALLAO","CALLAO",1
"2020-04-19","M","0-17","JUNIN","JAUJA",1
"2020-04-19","M","0-17","PIURA","PIURA",1
"2020-04-19","M","18-44","ANCASH","SANTA",2
"2020-04-19","M","18-44","AREQUIPA","AREQUIPA",2
