"year","week","sexo","agrp","dpt_cdc","n"
2020,16,"M","65+","AYACUCHO",1
2020,16,"M","65+","CAJAMARCA",2
2020,16,"M","65+","CALLAO",34
2020,16,"M","65+","HUANCAVELICA",1
2020,16,"M","65+","ICA",5
2020,16,"M","65+","JUNIN",2
2020,16,"M","65+","LA LIBERTAD",5
2020,16,"M","65+","LAMBAYEQUE",47
2020,16,"M","65+","LIMA",252
2020,16,"M","65+","LORETO",22
2020,16,"M","65+","PIURA",30
2020,16,"M","65+","PUNO",1
2020,16,"M","65+","SAN MARTIN",1
2020,16,"M","65+","TUMBES",4
2020,16,"M","65+","UCAYALI",14
2020,17,"F","0-17","ICA",1
2020,17,"F","0-17","LIMA",2
2020,17,"F","0-17","PIURA",1
2020,17,"F","0-17","UCAYALI",3
2020,17,"F","18-44","ANCASH",1
2020,17,"F","18-44","CALLAO",3
2020,17,"F","18-44","ICA",1
2020,17,"F","18-44","JUNIN",2
2020,17,"F","18-44","LA LIBERTAD",1
2020,17,"F","18-44","LAMBAYEQUE",3
2020,17,"F","18-44","LIMA",20
2020,17,"F","18-44","LORETO",10
2020,17,"F","18-44","PIURA",7
2020,17,"F","18-44","TUMBES",1
2020,17,"F","18-44","UCAYALI",6
2020,17,"F","45-64","ANCASH",5
2020,17,"F","45-64","AREQUIPA",1
2020,17,"F","45-64","CALLAO",11
2020,17,"F","45-64","ICA",8
2020,17,"F","45-64","JUNIN",2
2020,17,"F","45-64","LA LIBERTAD",4
2020,17,"F","45-64","LAMBAYEQUE",23
2020,17,"F","45-64","LIMA",78
2020,17,"F","45-64","LORETO",23
2020,17,"F","45-64","MOQUEGUA",1
2020,17,"F","45-64","PIURA",16
2020,17,"F","45-64","UCAYALI",13
2020,17,"F","65+","ANCASH",11
2020,17,"F","65+","AREQUIPA",1
2020,17,"F","65+","AYACUCHO",3
2020,17,"F","65+","CALLAO",27
2020,17,"F","65+","HUANUCO",1
2020,17,"F","65+","ICA",9
2020,17,"F","65+","JUNIN",1
2020,17,"F","65+","LA LIBERTAD",4
2020,17,"F","65+","LAMBAYEQUE",45
2020,17,"F","65+","LIMA",170
2020,17,"F","65+","LORETO",36
2020,17,"F","65+","MADRE DE DIOS",1
2020,17,"F","65+","MOQUEGUA",1
2020,17,"F","65+","PIURA",20
2020,17,"F","65+","SAN MARTIN",1
2020,17,"F","65+","TUMBES",2
2020,17,"F","65+","UCAYALI",18
2020,17,"M","0-17","CALLAO",1
2020,17,"M","0-17","JUNIN",1
2020,17,"M","0-17","LIMA",2
2020,17,"M","0-17","PIURA",1
2020,17,"M","18-44","AMAZONAS",1
2020,17,"M","18-44","ANCASH",2
2020,17,"M","18-44","AREQUIPA",2
2020,17,"M","18-44","CAJAMARCA",1
2020,17,"M","18-44","CALLAO",5
2020,17,"M","18-44","CUSCO",1
2020,17,"M","18-44","ICA",2
2020,17,"M","18-44","JUNIN",2
2020,17,"M","18-44","LAMBAYEQUE",6
2020,17,"M","18-44","LIMA",53
2020,17,"M","18-44","LORETO",13
2020,17,"M","18-44","PIURA",10
2020,17,"M","18-44","SAN MARTIN",1
2020,17,"M","18-44","UCAYALI",7
2020,17,"M","45-64","ANCASH",13
2020,17,"M","45-64","AREQUIPA",5
2020,17,"M","45-64","CALLAO",35
2020,17,"M","45-64","CUSCO",1
2020,17,"M","45-64","HUANCAVELICA",1
2020,17,"M","45-64","ICA",8
2020,17,"M","45-64","JUNIN",4
2020,17,"M","45-64","LA LIBERTAD",10
2020,17,"M","45-64","LAMBAYEQUE",63
2020,17,"M","45-64","LIMA",245
2020,17,"M","45-64","LORETO",65
2020,17,"M","45-64","PIURA",40
2020,17,"M","45-64","TUMBES",2
2020,17,"M","45-64","UCAYALI",22
2020,17,"M","65+","ANCASH",24
2020,17,"M","65+","APURIMAC",2
2020,17,"M","65+","AREQUIPA",1
2020,17,"M","65+","CAJAMARCA",2
2020,17,"M","65+","CALLAO",49
2020,17,"M","65+","HUANCAVELICA",2
2020,17,"M","65+","ICA",10
2020,17,"M","65+","JUNIN",2
2020,17,"M","65+","LA LIBERTAD",16
2020,17,"M","65+","LAMBAYEQUE",81
2020,17,"M","65+","LIMA",366
2020,17,"M","65+","LORETO",78
2020,17,"M","65+","PASCO",1
2020,17,"M","65+","PIURA",58
2020,17,"M","65+","PUNO",1
2020,17,"M","65+","TACNA",1
2020,17,"M","65+","TUMBES",6
2020,17,"M","65+","UCAYALI",38
2020,18,"F","0-17","JUNIN",2
2020,18,"F","0-17","LAMBAYEQUE",1
2020,18,"F","0-17","LORETO",1
2020,18,"F","0-17","PIURA",1
2020,18,"F","0-17","TUMBES",2
2020,18,"F","0-17","UCAYALI",3
2020,18,"F","18-44","CALLAO",5
2020,18,"F","18-44","ICA",3
2020,18,"F","18-44","LAMBAYEQUE",3
2020,18,"F","18-44","LIMA",25
2020,18,"F","18-44","LORETO",11
2020,18,"F","18-44","PIURA",8
2020,18,"F","18-44","TUMBES",1
2020,18,"F","18-44","UCAYALI",5
2020,18,"F","45-64","AMAZONAS",1
2020,18,"F","45-64","ANCASH",3
2020,18,"F","45-64","CALLAO",17
2020,18,"F","45-64","ICA",6
2020,18,"F","45-64","LA LIBERTAD",1
2020,18,"F","45-64","LAMBAYEQUE",18
2020,18,"F","45-64","LIMA",120
2020,18,"F","45-64","LORETO",35
2020,18,"F","45-64","PASCO",1
2020,18,"F","45-64","PIURA",27
2020,18,"F","45-64","PUNO",1
2020,18,"F","45-64","TUMBES",2
2020,18,"F","45-64","UCAYALI",15
2020,18,"F","65+","ANCASH",10
2020,18,"F","65+","AREQUIPA",5
2020,18,"F","65+","AYACUCHO",1
2020,18,"F","65+","CALLAO",29
2020,18,"F","65+","CUSCO",1
2020,18,"F","65+","HUANUCO",1
2020,18,"F","65+","ICA",6
2020,18,"F","65+","JUNIN",2
2020,18,"F","65+","LA LIBERTAD",5
2020,18,"F","65+","LAMBAYEQUE",41
2020,18,"F","65+","LIMA",234
2020,18,"F","65+","LORETO",77
2020,18,"F","65+","PASCO",1
2020,18,"F","65+","PIURA",41
2020,18,"F","65+","PUNO",1
2020,18,"F","65+","SAN MARTIN",2
2020,18,"F","65+","UCAYALI",32
2020,18,"M","0-17","ANCASH",2
2020,18,"M","0-17","LAMBAYEQUE",2
2020,18,"M","0-17","LIMA",3
2020,18,"M","0-17","LORETO",1
2020,18,"M","0-17","PASCO",1
2020,18,"M","0-17","UCAYALI",1
2020,18,"M","18-44","ANCASH",5
2020,18,"M","18-44","CALLAO",9
2020,18,"M","18-44","ICA",6
2020,18,"M","18-44","LA LIBERTAD",2
2020,18,"M","18-44","LAMBAYEQUE",8
2020,18,"M","18-44","LIMA",62
2020,18,"M","18-44","LORETO",16
2020,18,"M","18-44","PASCO",1
2020,18,"M","18-44","PIURA",19
2020,18,"M","18-44","PUNO",1
2020,18,"M","18-44","TACNA",1
2020,18,"M","18-44","UCAYALI",11
2020,18,"M","45-64","AMAZONAS",2
2020,18,"M","45-64","ANCASH",25
2020,18,"M","45-64","AREQUIPA",4
2020,18,"M","45-64","CALLAO",40
2020,18,"M","45-64","HUANUCO",1
2020,18,"M","45-64","ICA",21
2020,18,"M","45-64","JUNIN",4
2020,18,"M","45-64","LA LIBERTAD",15
2020,18,"M","45-64","LAMBAYEQUE",79
2020,18,"M","45-64","LIMA",335
2020,18,"M","45-64","LORETO",105
2020,18,"M","45-64","PIURA",78
2020,18,"M","45-64","PUNO",2
2020,18,"M","45-64","TACNA",1
2020,18,"M","45-64","TUMBES",3
2020,18,"M","45-64","UCAYALI",35
2020,18,"M","65+","AMAZONAS",2
2020,18,"M","65+","ANCASH",24
2020,18,"M","65+","AREQUIPA",7
2020,18,"M","65+","AYACUCHO",4
2020,18,"M","65+","CAJAMARCA",3
2020,18,"M","65+","CALLAO",70
2020,18,"M","65+","HUANUCO",5
2020,18,"M","65+","ICA",19
2020,18,"M","65+","JUNIN",8
2020,18,"M","65+","LA LIBERTAD",14
2020,18,"M","65+","LAMBAYEQUE",94
2020,18,"M","65+","LIMA",487
2020,18,"M","65+","LORETO",137
2020,18,"M","65+","PASCO",2
2020,18,"M","65+","PIURA",89
2020,18,"M","65+","PUNO",2
2020,18,"M","65+","SAN MARTIN",1
2020,18,"M","65+","TUMBES",2
2020,18,"M","65+","UCAYALI",67
