"fecha_fallecimiento","sexo","agrp","dpt_cdc","prov_cdc","n"
"2020-04-05","F","65+","AMAZONAS","UTCUBAMBA",1
"2020-04-05","F","65+","ANCASH","SANTA",1
"2020-04-05","F","65+","LA LIBERTAD","OTUZCO",1
"2020-04-05","F","65+","LAMBAYEQUE","FERREÑAFE",1
"2020-04-05","F","65+","LIMA","HUAURA",1
"2020-04-05","F","65+","LIMA","LIMA",2
"2020-04-05","F","65+","LORETO","MAYNAS",1
"2020-04-05","F","65+","SAN MARTIN","MOYOBAMBA",1
"2020-04-05","M","18-44","JUNIN","JAUJA",1
"2020-04-05","M","18-44","LIMA","LIMA",1
"2020-04-05","M","45-64","CALLAO","CALLAO",1
"2020-04-05","M","45-64","JUNIN","HUANCAYO",1
"2020-04-05","M","45-64","LAMBAYEQUE","CHICLAYO",1
"2020-04-05","M","45-64","LAMBAYEQUE","FERREÑAFE",1
"2020-04-05","M","45-64","LAMBAYEQUE","LAMBAYEQUE",1
"2020-04-05","M","45-64","LIMA","LIMA",7
"2020-04-05","M","45-64","LORETO","ALTO AMAZONAS",1
"2020-04-05","M","65+","AREQUIPA","CAYLLOMA",1
"2020-04-05","M","65+","CALLAO","CALLAO",1
"2020-04-05","M","65+","HUANUCO","HUANUCO",1
"2020-04-05","M","65+","ICA","ICA",1
"2020-04-05","M","65+","LIMA","LIMA",5
"2020-04-06","F","45-64","LIMA","LIMA",5
"2020-04-06","F","45-64","PIURA","PIURA",1
"2020-04-06","F","45-64","TUMBES","TUMBES",1
"2020-04-06","F","65+","CAJAMARCA","CAJAMARCA",1
"2020-04-06","F","65+","CALLAO","CALLAO",1
"2020-04-06","F","65+","ICA","ICA",2
"2020-04-06","F","65+","LA LIBERTAD","SANCHEZ CARRION",1
"2020-04-06","F","65+","LAMBAYEQUE","CHICLAYO",1
"2020-04-06","F","65+","LIMA","LIMA",4
"2020-04-06","F","65+","UCAYALI","CORONEL PORTILLO",1
"2020-04-06","M","0-17","LIMA","LIMA",1
"2020-04-06","M","18-44","CALLAO","CALLAO",1
"2020-04-06","M","18-44","LIMA","LIMA",1
"2020-04-06","M","45-64","CALLAO","CALLAO",2
"2020-04-06","M","45-64","LAMBAYEQUE","CHICLAYO",1
"2020-04-06","M","45-64","LAMBAYEQUE","FERREÑAFE",1
"2020-04-06","M","45-64","LIMA","LIMA",11
"2020-04-06","M","45-64","PIURA","PIURA",2
"2020-04-06","M","65+","APURIMAC","ANTABAMBA",1
"2020-04-06","M","65+","AREQUIPA","AREQUIPA",1
"2020-04-06","M","65+","CALLAO","CALLAO",2
"2020-04-06","M","65+","ICA","ICA",1
"2020-04-06","M","65+","LA LIBERTAD","OTUZCO",1
"2020-04-06","M","65+","LA LIBERTAD","TRUJILLO",1
"2020-04-06","M","65+","LAMBAYEQUE","CHICLAYO",3
"2020-04-06","M","65+","LAMBAYEQUE","FERREÑAFE",1
"2020-04-06","M","65+","LIMA","LIMA",11
"2020-04-06","M","65+","LORETO","MAYNAS",1
"2020-04-06","M","65+","TUMBES","TUMBES",1
"2020-04-07","F","0-17","UCAYALI","PADRE ABAD",1
"2020-04-07","F","45-64","AREQUIPA","AREQUIPA",1
"2020-04-07","F","45-64","LIMA","LIMA",1
"2020-04-07","F","65+","CALLAO","CALLAO",1
"2020-04-07","F","65+","LAMBAYEQUE","CHICLAYO",1
"2020-04-07","F","65+","LAMBAYEQUE","FERREÑAFE",1
"2020-04-07","F","65+","LIMA","LIMA",7
"2020-04-07","M","18-44","ANCASH","SANTA",1
