"fecha_fallecimiento","sexo","agrp","dpt_cdc","n"
"2020-04-12","M","65+","AREQUIPA",1
"2020-04-12","M","65+","CALLAO",2
"2020-04-12","M","65+","LA LIBERTAD",1
"2020-04-12","M","65+","LAMBAYEQUE",5
"2020-04-12","M","65+","LIMA",18
"2020-04-12","M","65+","LORETO",4
"2020-04-12","M","65+","PIURA",1
"2020-04-13","F","45-64","AREQUIPA",1
"2020-04-13","F","45-64","CALLAO",1
"2020-04-13","F","45-64","LIMA",8
"2020-04-13","F","65+","ANCASH",1
"2020-04-13","F","65+","CALLAO",1
"2020-04-13","F","65+","ICA",3
"2020-04-13","F","65+","LIMA",8
"2020-04-13","F","65+","PIURA",3
"2020-04-13","F","65+","TUMBES",2
"2020-04-13","M","18-44","ANCASH",1
"2020-04-13","M","18-44","CAJAMARCA",1
"2020-04-13","M","18-44","LIMA",6
"2020-04-13","M","18-44","PIURA",2
"2020-04-13","M","45-64","AREQUIPA",1
"2020-04-13","M","45-64","CALLAO",3
"2020-04-13","M","45-64","LAMBAYEQUE",5
"2020-04-13","M","45-64","LIMA",19
"2020-04-13","M","45-64","PIURA",1
"2020-04-13","M","65+","ANCASH",1
"2020-04-13","M","65+","AREQUIPA",1
"2020-04-13","M","65+","CAJAMARCA",1
"2020-04-13","M","65+","CALLAO",6
"2020-04-13","M","65+","ICA",2
"2020-04-13","M","65+","JUNIN",2
"2020-04-13","M","65+","LA LIBERTAD",1
"2020-04-13","M","65+","LAMBAYEQUE",5
"2020-04-13","M","65+","LIMA",19
"2020-04-13","M","65+","PIURA",2
"2020-04-14","F","18-44","ICA",1
"2020-04-14","F","18-44","JUNIN",1
"2020-04-14","F","45-64","ANCASH",1
"2020-04-14","F","45-64","CALLAO",2
"2020-04-14","F","45-64","LAMBAYEQUE",3
"2020-04-14","F","45-64","LIMA",6
"2020-04-14","F","45-64","PIURA",2
"2020-04-14","F","65+","ANCASH",3
"2020-04-14","F","65+","CALLAO",1
"2020-04-14","F","65+","LA LIBERTAD",1
"2020-04-14","F","65+","LAMBAYEQUE",2
"2020-04-14","F","65+","LIMA",17
"2020-04-14","F","65+","LORETO",2
"2020-04-14","M","0-17","LIMA",1
"2020-04-14","M","18-44","JUNIN",1
"2020-04-14","M","18-44","LA LIBERTAD",1
"2020-04-14","M","18-44","LAMBAYEQUE",2
"2020-04-14","M","18-44","LIMA",7
"2020-04-14","M","18-44","PIURA",2
"2020-04-14","M","45-64","ANCASH",1
"2020-04-14","M","45-64","CALLAO",3
"2020-04-14","M","45-64","ICA",3
"2020-04-14","M","45-64","JUNIN",1
"2020-04-14","M","45-64","LAMBAYEQUE",3
"2020-04-14","M","45-64","LIMA",18
"2020-04-14","M","45-64","LORETO",3
"2020-04-14","M","45-64","PIURA",2
"2020-04-14","M","65+","CALLAO",9
"2020-04-14","M","65+","ICA",1
"2020-04-14","M","65+","LA LIBERTAD",1
"2020-04-14","M","65+","LAMBAYEQUE",3
"2020-04-14","M","65+","LIMA",29
"2020-04-14","M","65+","PIURA",2
"2020-04-14","M","65+","PUNO",1
"2020-04-15","F","0-17","AREQUIPA",1
"2020-04-15","F","0-17","LAMBAYEQUE",1
"2020-04-15","F","0-17","LIMA",1
"2020-04-15","F","45-64","CALLAO",1
"2020-04-15","F","45-64","LAMBAYEQUE",3
"2020-04-15","F","45-64","LIMA",7
"2020-04-15","F","45-64","LORETO",1
"2020-04-15","F","45-64","UCAYALI",1
"2020-04-15","F","65+","CALLAO",1
"2020-04-15","F","65+","ICA",1
"2020-04-15","F","65+","LA LIBERTAD",2
"2020-04-15","F","65+","LAMBAYEQUE",8
"2020-04-15","F","65+","LIMA",16
"2020-04-15","F","65+","PIURA",4
"2020-04-15","F","65+","UCAYALI",1
"2020-04-15","M","18-44","ANCASH",1
"2020-04-15","M","18-44","LIMA",7
"2020-04-15","M","18-44","PIURA",1
"2020-04-15","M","45-64","ANCASH",1
"2020-04-15","M","45-64","CALLAO",2
"2020-04-15","M","45-64","LAMBAYEQUE",4
"2020-04-15","M","45-64","LIMA",13
"2020-04-15","M","45-64","LORETO",2
"2020-04-15","M","45-64","PIURA",3
"2020-04-15","M","45-64","UCAYALI",1
"2020-04-15","M","65+","ANCASH",2
"2020-04-15","M","65+","AREQUIPA",1
"2020-04-15","M","65+","CAJAMARCA",1
"2020-04-15","M","65+","CALLAO",2
"2020-04-15","M","65+","LA LIBERTAD",1
"2020-04-15","M","65+","LAMBAYEQUE",5
"2020-04-15","M","65+","LIMA",28
"2020-04-15","M","65+","LORETO",1
"2020-04-15","M","65+","PIURA",3
"2020-04-15","M","65+","TUMBES",1
"2020-04-16","F","18-44","LAMBAYEQUE",1
"2020-04-16","F","18-44","LIMA",2
"2020-04-16","F","18-44","PIURA",1
"2020-04-16","F","18-44","UCAYALI",1
"2020-04-16","F","45-64","ANCASH",1
"2020-04-16","F","45-64","LAMBAYEQUE",4
"2020-04-16","F","45-64","LIMA",6
"2020-04-16","F","65+","ANCASH",2
"2020-04-16","F","65+","CAJAMARCA",1
"2020-04-16","F","65+","ICA",1
"2020-04-16","F","65+","LA LIBERTAD",1
"2020-04-16","F","65+","LAMBAYEQUE",6
"2020-04-16","F","65+","LIMA",13
"2020-04-16","F","65+","LORETO",1
"2020-04-16","F","65+","PIURA",5
"2020-04-16","M","0-17","PIURA",2
"2020-04-16","M","18-44","AYACUCHO",1
"2020-04-16","M","18-44","CALLAO",1
"2020-04-16","M","18-44","LAMBAYEQUE",2
"2020-04-16","M","18-44","LIMA",5
"2020-04-16","M","45-64","ANCASH",1
"2020-04-16","M","45-64","CALLAO",1
"2020-04-16","M","45-64","ICA",3
"2020-04-16","M","45-64","JUNIN",1
"2020-04-16","M","45-64","LAMBAYEQUE",2
"2020-04-16","M","45-64","LIMA",24
"2020-04-16","M","45-64","LORETO",1
"2020-04-16","M","45-64","PIURA",1
"2020-04-16","M","45-64","UCAYALI",2
"2020-04-16","M","65+","CALLAO",6
"2020-04-16","M","65+","ICA",1
"2020-04-16","M","65+","LAMBAYEQUE",6
"2020-04-16","M","65+","LIMA",37
"2020-04-16","M","65+","LORETO",1
"2020-04-16","M","65+","PIURA",3
"2020-04-16","M","65+","UCAYALI",2
"2020-04-17","F","18-44","LIMA",2
"2020-04-17","F","45-64","LAMBAYEQUE",5
"2020-04-17","F","45-64","LIMA",8
"2020-04-17","F","45-64","PIURA",1
"2020-04-17","F","65+","CALLAO",2
"2020-04-17","F","65+","LAMBAYEQUE",4
"2020-04-17","F","65+","LIMA",15
"2020-04-17","F","65+","LORETO",1
"2020-04-17","F","65+","PASCO",1
"2020-04-17","F","65+","PIURA",2
"2020-04-17","F","65+","UCAYALI",2
"2020-04-17","M","18-44","CALLAO",2
"2020-04-17","M","18-44","LIMA",9
"2020-04-17","M","18-44","LORETO",3
"2020-04-17","M","45-64","ANCASH",1
"2020-04-17","M","45-64","CALLAO",1
"2020-04-17","M","45-64","ICA",2
"2020-04-17","M","45-64","LA LIBERTAD",1
"2020-04-17","M","45-64","LAMBAYEQUE",5
"2020-04-17","M","45-64","LIMA",22
"2020-04-17","M","45-64","LORETO",1
"2020-04-17","M","45-64","PIURA",2
"2020-04-17","M","65+","AYACUCHO",1
"2020-04-17","M","65+","CALLAO",4
"2020-04-17","M","65+","LA LIBERTAD",1
"2020-04-17","M","65+","LAMBAYEQUE",6
"2020-04-17","M","65+","LIMA",22
"2020-04-17","M","65+","LORETO",1
"2020-04-17","M","65+","PIURA",3
"2020-04-17","M","65+","TUMBES",1
"2020-04-17","M","65+","UCAYALI",2
"2020-04-18","F","0-17","LIMA",1
"2020-04-18","F","0-17","TUMBES",1
"2020-04-18","F","18-44","LIMA",2
"2020-04-18","F","18-44","LORETO",1
"2020-04-18","F","18-44","UCAYALI",1
"2020-04-18","F","45-64","CALLAO",1
"2020-04-18","F","45-64","JUNIN",1
"2020-04-18","F","45-64","LAMBAYEQUE",3
"2020-04-18","F","45-64","LIMA",7
"2020-04-18","F","45-64","LORETO",1
"2020-04-18","F","45-64","PIURA",1
"2020-04-18","F","65+","ANCASH",2
"2020-04-18","F","65+","AREQUIPA",1
"2020-04-18","F","65+","CALLAO",1
"2020-04-18","F","65+","LAMBAYEQUE",3
"2020-04-18","F","65+","LIMA",15
"2020-04-18","F","65+","LORETO",1
"2020-04-18","M","18-44","CALLAO",1
"2020-04-18","M","18-44","LA LIBERTAD",1
"2020-04-18","M","18-44","LIMA",4
"2020-04-18","M","18-44","UCAYALI",1
"2020-04-18","M","45-64","ANCASH",1
"2020-04-18","M","45-64","CALLAO",4
"2020-04-18","M","45-64","ICA",1
"2020-04-18","M","45-64","LAMBAYEQUE",3
"2020-04-18","M","45-64","LIMA",24
"2020-04-18","M","45-64","LORETO",2
"2020-04-18","M","45-64","PIURA",4
"2020-04-18","M","45-64","TUMBES",1
"2020-04-18","M","45-64","UCAYALI",1
"2020-04-18","M","65+","ANCASH",1
"2020-04-18","M","65+","CALLAO",5
"2020-04-18","M","65+","ICA",2
"2020-04-18","M","65+","JUNIN",1
"2020-04-18","M","65+","LA LIBERTAD",1
"2020-04-18","M","65+","LAMBAYEQUE",9
"2020-04-18","M","65+","LIMA",28
"2020-04-18","M","65+","LORETO",2
"2020-04-18","M","65+","PIURA",8
"2020-04-18","M","65+","SAN MARTIN",1
"2020-04-18","M","65+","UCAYALI",2
"2020-04-19","F","18-44","LAMBAYEQUE",2
"2020-04-19","F","18-44","LIMA",3
"2020-04-19","F","18-44","LORETO",1
"2020-04-19","F","18-44","PIURA",2
"2020-04-19","F","18-44","SAN MARTIN",1
"2020-04-19","F","45-64","ANCASH",1
"2020-04-19","F","45-64","CALLAO",2
"2020-04-19","F","45-64","LAMBAYEQUE",3
"2020-04-19","F","45-64","LIMA",13
"2020-04-19","F","45-64","PIURA",2
"2020-04-19","F","65+","ANCASH",6
"2020-04-19","F","65+","CALLAO",1
"2020-04-19","F","65+","ICA",1
"2020-04-19","F","65+","JUNIN",2
"2020-04-19","F","65+","LAMBAYEQUE",4
"2020-04-19","F","65+","LIMA",18
"2020-04-19","F","65+","LORETO",1
"2020-04-19","F","65+","PIURA",3
"2020-04-19","F","65+","TUMBES",1
"2020-04-19","F","65+","UCAYALI",2
"2020-04-19","M","18-44","ICA",1
"2020-04-19","M","18-44","LA LIBERTAD",1
"2020-04-19","M","18-44","LIMA",11
"2020-04-19","M","18-44","PIURA",2
"2020-04-19","M","45-64","ANCASH",1
"2020-04-19","M","45-64","AREQUIPA",2
"2020-04-19","M","45-64","CAJAMARCA",1
"2020-04-19","M","45-64","CALLAO",2
"2020-04-19","M","45-64","JUNIN",1
